_id,Place,All_Sight_Seeing,Recommended_Sight_Seeing,All_places_1[0],All_places_1[1],All_places_1[2],All_places_1[3],All_places_1[4],All_places_1[5],All_places_2[0],All_places_2[1],All_places_2[2],All_places_2[3],All_places_2[4],All_places_2[5],All_places_2[6],All_places_2[7],All_places_2[8],All_places_2[9],All_places_2[10],All_places_2[11],All_places_2[12],All_places_2[13],All_places_2[14],All_places_2[15],All_places_2[16],All_places_2[17],All_places_3[0],All_places_3[1],All_places_3[2],All_places_3[3],All_places_3[4],All_places_4[0],All_places_4[1],All_places_4[2],All_places_4[3],All_places_4[4],All_places_4[5],All_places_4[6],All_places_4[7],Recommended_places_1[0],Recommended_places_1[1],Recommended_places_1[2],Recommended_places_1[3],Recommended_places_1[4],Recommended_places_1[5],Recommended_places_2[0],Recommended_places_2[1],Recommended_places_2[2],Recommended_places_2[3],Recommended_places_2[4],Recommended_places_2[5],Recommended_places_2[6],Recommended_places_2[7],Recommended_places_2[8],Recommended_places_2[9],Recommended_places_3[0],Recommended_places_3[1],Recommended_places_3[2],Recommended_places_3[3],Recommended_places_3[4],Recommended_places_4[0],Recommended_places_4[1],Recommended_places_4[2],Recoomended_places_2[0],All_places[0]
6554e90fc4af8abcb9544b97,SHIMLA,3,2,KALI BARI TEMPLE - SHIMLA,CHRIST CHURCH - SHIMLA,THE RIDGE - SHIMLA,SHIMLA MALL ROAD,INDIAN INSTITUTE OF ADVANCE STUDY,GAIETY HERITAGE CULTURAL COMPLEX,GREEN VALLEY,KUFRI,FAGU VALLEY,CHAIL PALACE,,,,,,,,,,,,,,,NALDEHRA,TATTAPANI,JAKHOO HILL AND TEMPLE,,,,,,,,,,,KALI BARI TEMPLE - SHIMLA,CHRIST CHURCH - SHIMLA,THE RIDGE - SHIMLA,SHIMLA MALL ROAD,,,GREEN VALLEY,KUFRI,FAGU VALLEY,CHAIL PALACE,,,,,,,,,,,,,,,,
655c69a9372f0655bfa32e11,MANALI,4,3,,,,,,,ROHTANG PASS,BASIST KUND,NEHRU KUND,,,,,,,,,,,,,,,,NAGAR CASTLE,HIDIMBA DEVI TEMPLE,CLUB HOUSE - MANALI,MANU TEMPLE,,SOLANG VALLEY / SOLANG NULLAH,ATAL TUNNEL,,,,,,,,,,,,,ROHTANG PASS,BASIST KUND,NEHRU KUND,,,,,,,,HIDIMBA DEVI TEMPLE,CLUB HOUSE - MANALI,MANU TEMPLE,SOLANG VALLEY / SOLANG NULLAH,ATAL TUNNEL,,,,,
6561a2b1af97882831752c9a,CHAIL,  1,1,CHAIL PALACE,CHAIL CRICKET GROUND,CHAIL WILDLIFE SANTUARY,"KALI TEMPLE, CHAIL",SADHUPUL,SIDH BABA KA MANDIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHAIL PALACE,CHAIL CRICKET GROUND,CHAIL WILDLIFE SANTUARY,"KALI TEMPLE, CHAIL",SADHUPUL,SIDH BABA KA MANDIR,,,,,,,,,,,,,,,,,,,,
6561a44faf97882831752c9b,MANDI,1,1,REWALSAR LAKE,PANDOH DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REWALSAR LAKE,PANDOH DAM,,,,,,,,,,,,,,,,,,,,,,,,
6561a54baf97882831752c9c,KULLU,2,1,MANIKARAN,KASOL,TEMPLES at Kullu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANIKARAN,KASOL,,,,,,,,,,,,,,,,,,,,,,,,
6561a676af97882831752c9d,KASOL,2,1,MANIKARAN,KULLU,TEMPLES at Kullu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANIKARAN,KULLU,,,,,,,,,,,,,,,,,,,,,,,,
6561abf9af97882831752c9f,DALHOUSIE,3,2,,,,,,,PANCHPULA -WATERFALL,DAIKUND TOP SUMMIT,KALATOP,KHAJIAR,ST. PATRICK'S CHURCH,,,,,,,,,,,,,,CHAMERA LAKE,ST. PATRICK'S CHURCH,,,,,,,,,,,,,,,,,,PANCHPULA -WATERFALL,DAIKUND TOP SUMMIT,KALATOP,KHAJIAR,ST. PATRICK'S CHURCH,,,,,,,,,,,,,,,
6561d3b7af97882831752ca1,DHARAMSALA / McLEODGANG,4,3,,,,,,,GYUTO MONASTERY,TIBET MUSEUM,NAAM ART GALLERY,AGHANJAR MAHADEV TEMPLE,NECHUNG MONASTERY,KANGRA ART MUSEUM,GUNADEVI TEMPLE,NORBULINGKA INSTITUTE,McLEODGANG,DALAI LAMA TEMPLE/ NAMGYAL MONASTERY,TSUGLAGKHANG TEMPLE,KALACHAKRA TEMPLE,DHARAMKOT STUDIO,BHAGSU NAAG TEMPLE,BHAGSU NAAG WATER FALL,DAL LAKE MCLEODGANJ,NADDI VIEW POINT,CHURCH OF ST. JOHN IN THE WILDERNESS,KANGRA FORT,JWALA DEVI TEMPLE (SHAKTI PITH),DHARAMSHALA STADIUM VIEW,MASROOR ROCK CUT TEMPLE,PONG DAM,PALAMPUR,BAIJNATH,SIDHBARI,TASHI JONG MONASTERY,SAURAV VAN VIHAR,PALAMPUR TEA GARDEN,NEUGAL KHAD,"POTTERY, ANDRETTA",,,,,,,McLEODGANG,DALAI LAMA TEMPLE/ NAMGYAL MONASTERY,TSUGLAGKHANG TEMPLE,KALACHAKRA TEMPLE,DHARAMKOT STUDIO,BHAGSU NAAG TEMPLE,BHAGSU NAAG WATER FALL,DAL LAKE MCLEODGANJ,NADDI VIEW POINT,CHURCH OF ST. JOHN IN THE WILDERNESS,KANGRA FORT,JWALA DEVI TEMPLE (SHAKTI PITH),DHARAMSHALA STADIUM VIEW,MASROOR ROCK CUT TEMPLE,,,,,,
6561e111af97882831752ca2,SANGLA / CHITKUL,2,2,,,,,,,KAMRU FORT,SANGLA BUDDHIST MONASTERY,CHITKUL,RAKCHHAM,BASPA VALLEY AND RIVER,BATSERI VILLAGE,SANGLA MEADOW,BERING NAG TEMPLE,TIBETIAN WOOD CURVING CENTRE,KINNAR KAILASH VIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAMRU FORT,SANGLA BUDDHIST MONASTERY,CHITKUL,RAKCHHAM,BASPA VALLEY AND RIVER,SANGLA MEADOW,BATSERI VILLAGE,BERING NAG TEMPLE,TIBETIAN WOOD CURVING CENTRE,KINNAR KAILASH VIEW,,,,,,,,,,
6561e334af97882831752ca3,RECONG PEO / KALPA,1,1,NARAYAN NAGINI TEMPLE,SUICIDE POINT,ROGHI VILLAGE / ROGHI VALLEY VIEW POINT,HU-BU-LAN-KAR MONASTERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NARAYAN NAGINI TEMPLE,SUICIDE POINT,ROGHI VILLAGE / ROGHI VALLEY VIEW POINT,HU-BU-LAN-KAR MONASTERY,,,,,,,,,,,,,,,,,,,,,,
6561e53daf97882831752ca4,KEYLONG,2,2,,,,,,,KARDANG MONASTERY,SHASHUR MONASTERY,ZERO POINT- KEYLONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KARDANG MONASTERY,SHASHUR MONASTERY,ZERO POINT- KEYLONG,,,,,,,,,,,,,,,,,
6561e755af97882831752ca5,CHANDRATAL,1,1,KUNZAM PASS,BATAL,CHANDRATAL LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KUNZAM PASS,BATAL,CHANDRATAL LAKE,,,,,,,,,,,,,,,,,,,,,,,
65620400af97882831752ca6,NARKANDA,1,1,NARKANDA SKI POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NARKANDA SKI POINT,,,,,,,,,,,,,,,,,,,,,,,,,
65620642af97882831752ca7,KAZA,4,4,,,,,,,KIBBER,HIKKIM,CHICHAM BRIDGE,LANGZA,KOMIK VILLAGE,KEY MONASTRY,,,,,,,,,,,,,TABO,DHANKAR VILLAGE,DHANKAR MONASTERY AND LAKE,,,PIN VALLEY NATIONAL PARK,BHARYA AND SAMLLING,PIN VALLEY,,,,,,,,,,,,KIBBER,HIKKIM,CHICHAM BRIDGE,LANGZA,KOMIK VILLAGE,KEY MONASTRY,,,,,TABO,DHANKAR VILLAGE,DHANKAR MONASTERY AND LAKE,,,PIN VALLEY NATIONAL PARK,BHARYA AND SAMLLING,PIN VALLEY,,
